FECH;ORIGEN;CANTI;FOBDOL;FOBPES
2312;ABW;30;61;245200
2312;ABW;30;68;271340
2312;ABW;84;183;732207
2312;ABW;447;345413;1356311290
2312;BIH;1600;272;1087976
2312;BIH;32960;9098;36378444
2312;BIH;9900;1188;4750230
2312;AGO;1;1608;6404935
2312;AGO;40;1474;5893804
2312;AIA;2;1481;5734430
2312;ATG;6;657;2601491
2312;ATG;10;1791;7087823
2312;ATG;259;17825;70528456
2312;ATG;396;10396;41136218
2312;ATG;12;1323;5233211
2312;ATG;12;1309;5178766
2312;ATG;210;3873;15323344
2312;ATG;276;9199;36399027
2312;SAU;11;3044;12044377
2312;SAU;2;736;2912175
2312;SAU;7;2372;9385435
2312;SAU;3;744;2943829
2312;SAU;3;588;2326575
2312;SAU;210;21;82224
2312;SAU;5500;860;3367191
2312;SAU;30001;24099;95375675
2312;SAU;60;6;23493
2312;SAU;319;2526;9920736
2312;SAU;2088;1421;5684310
2312;SAU;70;7;27408
2312;SAU;23307;18140;72069744
2312;SAU;2205;1377;5392645
2312;SAU;4;11208;44192140
2312;SAU;4;2248;8865824
2312;SAU;53;68634;271507868
2312;SAU;3;11274;43090747
2312;SAU;1;50;199926
2312;SAU;3750;1395;5579874
2312;SAU;800;152;607986
2312;SAU;1560;1475;5897867
2312;SAU;500;150;599987
2312;SAU;109;1630;6519853
2312;SAU;2846;10472;41705258
2312;SAU;3960;18596;71075453
2312;SAU;180;2466;9862594
2312;SAU;1;4878;19427432
2312;SAU;6;13693;55391359
2312;SAU;44004;220790;863959006
2312;SAU;12960;32374;128949701
2312;SAU;238;1078;4180295
2312;SAU;164;877;3400893
2312;SAU;328;716;2770827
2312;SAU;138;373;1447143
2312;SAU;180;1000;3879997
2312;SAU;398;1592;6176460
2312;SAU;44;147;560848
2312;SAU;4288;17672;70501333
2312;SAU;1577;22374;87647637
2312;SAU;1276;3412;13208807
2312;SAU;258;3412;13208768
2312;SAU;134;3412;13208768
2312;SAU;1;6000;23937300
2312;SAU;111;3412;13208768
2312;SAU;600;156;613484
2312;SAU;3;288;1127644
2312;SAU;5;1160;4541899
2312;SAU;3;336;1315584
2312;SAU;6;963;3770559
2312;SAU;6;612;2396243
2312;SAU;4;928;3633519
2312;SAU;3797;8480;33200967
2312;ARG;21710;7235;28934276
2312;ARG;184;368;1471452
2312;ARG;20971;3054;12211450
2312;ARG;3800;1000;4023210
2312;ARG;1;105;411742
2312;ARG;1;105;411742
2312;ARG;1;105;411742
2312;ARG;1;105;411742
2312;ARG;1;105;411742
2312;ARG;1;105;411742
2312;ARG;1;105;411742
2312;ARG;2;3969;15806304
2312;ARG;7000;91000;363948130
2312;ARG;75;2238;8927815
2312;ARG;1043;23072;89322482
2312;ARG;2;15266;60388803
2312;ARG;600;48993;189675073
2312;ARG;400;92;367863
2312;ARG;900;54;215920
2312;ARG;623;5700;23057754
2312;ARG;9;89;358285
2312;ARG;1;2487;9761506
2312;ARG;9;3545;13940088
2312;ARG;9;2051;8064916
2312;ARG;591;490;1930981
2312;ARG;1;4;17077
2312;ARG;1;146;576566
2312;ARG;1;597;2355620
2312;ARG;8;206;810279
2312;ARG;3;1572;6208763
2312;ARG;7;1584;6253737
2312;ARG;4;598;2349024
2312;ARG;3;963;3729949
2312;ARG;1;11541;45962033
2312;ARG;237;923;3692157
2312;ARG;2155;1844781;7224103382
2312;AUS;137680;23242;91240901
2312;AUS;11680;3270;13039787
2312;AUS;5200;728;2857961
2312;AUS;9450;5202;20594989
2312;AUS;3965;2657;10580308
2312;AUS;3;799;3054582
2312;AUS;440;79;310842
2312;AUS;1800;378;1483941
2312;AUS;126304;8484;33793443
2312;AUS;12100;4114;16551486
2312;AUS;577600;107499;430157783
2312;AUS;4858;6431;25438998
2312;AUS;65120;11695;45992427
2312;AUS;4020;724;2862475
2312;AUS;300;94;378228
2312;AUS;632;12954;52401133
2312;AUS;1;102;412208
2312;AUS;445;6246;25265190
2312;AUS;1;1461;5843542
2312;AUS;5320;958;3814264
