DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
2311;ARM;76;2;6171
2311;ABW;1;76;303299
2311;ABW;4;182;723466
2311;ABW;240;10598;42128004
2311;ABW;9;748;2971777
2311;ABW;3;183;726249
2311;ABW;2;127;506426
2311;ABW;9;422;1677885
2311;ABW;3;205;815291
2311;ABW;33;2272;9032199
2311;ABW;25;998;3965152
2311;ABW;15;108;428515
2311;ABW;1;18;72347
2311;ABW;2842;799;3242469
2311;ABW;2639;803;3255775
2311;ABW;1734;899;3646215
2311;ABW;184;705;2861076
2311;ABW;1500;2858;11559210
2311;ABW;2;7225;28720025
2311;ABW;1;5054;20090105
2311;ABW;600;3600;14363604
2311;ABW;73;3948;15624326
2311;ABW;106;5000;19789483
2311;ABW;158;3617;14313513
2311;ABW;205;9321;36890374
2311;ABW;63;3664;14500636
2311;ABW;10;3;12180
2311;ABW;9868;6221;25116328
2311;ABW;219;285;1150034
2311;ABW;877;1139;4600095
2311;ABW;1316;524;2116012
2311;ABW;657;456;1839990
2311;ABW;25655;5663;22864545
2311;ABW;112;1738;7015102
2311;ABW;10;4;16020
2311;ABW;9;4;16020
2311;ABW;26;8;32040
2311;ABW;10;4;16020
2311;ABW;5;2;8010
2311;ABW;13;4;16020
2311;ABW;12;2;8010
2311;ABW;4325;1384;5627053
2311;ABW;3280;1459;5931174
2311;ABW;6160;1544;6231726
2311;ABW;804;427;1724647
2311;ABW;268;57;229958
2311;ABW;536;114;459917
2311;ABW;7767;1677;6772023
2311;ABW;105;997;4024150
2311;ABW;1;2003;8020934
2311;ABW;90;184;741135
2311;ABW;75;170;683459
2311;ABW;252;549;2211129
2311;ABW;29600;44566;178966386
2311;ABW;1160;162;662845
2311;ABW;5700;1896;7603896
2311;ABW;1280;323;1316953
2311;ABW;4850;2600;10443844
2311;ABW;100;18;74119
2311;ABW;2700;1314;5273260
2311;ABW;255;150;613091
2311;ABW;2584;2764;11073408
2311;ABW;212;3742;15156034
2311;ABW;30;61;250901
2311;ABW;25;57;231339
2311;ABW;84;183;749142
2311;ABW;63;239;950047
2311;ABW;2;23;89599
2311;ABW;67;357;1417756
2311;ABW;8;40;160395
2311;ABW;1058;5150;20470243
2311;ABW;10;61;244055
2311;ABW;105;57;225027
2311;ABW;27;183;728701
2311;ABW;560;466202;1869878521
2311;BIH;800;136;552947
2311;BIH;400;60;242158
2311;BIH;800;115;466753
2311;BIH;39910;11157;44350079
2311;BIH;11700;1404;5581026
2311;AIA;2;1730;6885285
2311;ATG;2;366;1465051
2311;ATG;70;5255;21044908
2311;ATG;232;4580;18344456
2311;ATG;6;426;1707597
2311;ATG;6;279;1117412
2311;ATG;150;2058;8241212
2311;ATG;20;880;3523572
2311;ATG;116;4927;19734132
2311;ATG;158;2353;9425268
2311;ATG;41;2831;11337324
2311;ATG;142;1394;5581692
2311;ATG;6;115;460181
2311;SAU;4968;3372;13801301
2311;SAU;1400;900;3654135
2311;SAU;4800;576;2329638
2311;SAU;26619;20228;82469404
2311;SAU;602;4409;17882806
2311;SAU;120;485;1921539
2311;SAU;46;272;1077536
2311;SAU;40;183;725333
2311;SAU;53;222;878961
2311;SAU;81;250;989902
2311;SAU;25;149;588590
2311;SAU;57;290;1151219
2311;SAU;20;90;356721
2311;SAU;3180;2203;8942886
2311;SAU;3934;3390;13606905
2311;SAU;85;744;2968478
2311;SAU;13450;4754;19573534
2311;SAU;2400;456;1877676
2311;SAU;300;96;395300
2311;SAU;800;256;1054134
2311;SAU;1290;1259;5182138
2311;SAU;1000;334;1375315
2311;SAU;1430;4050;16676726
2311;SAU;1;13078;53323456
2311;SAU;89;10549;42690940
2311;SAU;10;7832;31131315
2311;SAU;12960;65027;259449779
2311;SAU;28;80;323756
2311;SAU;10880;36260;147985018
2311;SAU;90;398;1638516
2311;SAU;300;754;3080697
2311;SAU;98;129;524571
2311;SAU;60;340;1399105
2311;SAU;375;2007;8206320
2311;SAU;76;263;1074211
2311;SAU;2720;25845;104559259
2311;SAU;7970;35930;142824984
2311;SAU;1440;20640;82686730
2311;SAU;2;3796;15089442
2311;SAU;70;568;2292761
2311;ARG;25480;2548;10099176
2311;ARG;31650;9234;37787552
2311;ARG;26200;5134;20726933
2311;ARG;58800;10022;39837358
2311;ARG;80;1210;4893857
2311;ARG;150;5965;24410748
2311;ARG;24;25290;102601757
2311;ARG;6;7299;28931286
2311;ARG;278;3414;14054038
